ticker,setup,entry_date,exit_date,entry,exit,qty,days,pnl,pnl_pct,r,reason,m_r6m
CX,pullback,2023-05-26,2023-07-06,6.1556,6.4296,5,26,1.83,5.91,1.131,SMA50 이탈,39.4
SMCI,pullback,2023-07-03,2023-08-09,25.489,26.613,8,26,18.88,9.22,1.157,SMA50 이탈,209.2
PLTR,pullback,2023-07-06,2023-08-09,15.32,15.25,13,24,12.36,6.18,0.776,SMA50 이탈,144.5
DKNG,pullback,2023-06-22,2023-08-10,24.69,27.75,9,34,19.38,8.68,2.79,SMA50 이탈,105.9
GRBK,pullback,2023-08-09,2023-08-10,54.38,52.6,4,1,-9.05,-4.14,-0.52,SMA50 이탈,68.0
KBH,pullback,2023-05-26,2023-08-16,41.9713,49.0964,3,55,13.55,10.71,2.37,SMA50 이탈,47.2
BBIO,pullback,2023-08-09,2023-08-16,31.63,29.9485,8,5,-15.67,-6.16,-1.165,손절,182.0
BORR,pullback,2023-08-10,2023-08-16,8.0063,7.4492,27,4,-16.92,-7.79,-1.125,손절,46.3
SPHR,pullback,2023-08-10,2023-08-17,40.85,37.582,5,5,-18.1,-8.82,-1.108,손절,66.6
BZH,pullback,2023-08-16,2023-08-17,32.46,31.1058,7,1,-11.48,-5.03,-1.211,손절,111.1
NVDA,pullback,2023-08-16,2023-08-17,44.4334,43.2597,1,1,-1.57,-3.51,-0.441,SMA50 이탈,101.7
ARLO,pullback,2023-08-17,2023-08-18,10.56,9.93,19,1,-13.72,-6.81,-0.855,SMA50 이탈,145.9
YPF,pullback,2023-08-17,2023-08-21,14.89,14.4,4,2,-2.49,-4.16,-0.522,SMA50 이탈,21.0
LI,pullback,2023-08-18,2023-08-23,38.58,38.3427,5,3,-1.5,-0.77,-1.264,손절,60.8
RXST,pullback,2023-08-16,2023-08-24,30.71,29.36,6,6,-9.72,-5.25,-0.66,SMA50 이탈,128.4
RXST,pullback,2023-08-24,2023-08-25,30.63,29.5,6,1,-8.4,-4.55,-0.572,SMA50 이탈,122.6
ACAD,pullback,2023-08-17,2023-08-29,29.23,26.8916,7,8,-18.14,-8.82,-1.108,손절,53.1
ARCT,pullback,2023-08-23,2023-08-31,32.7,30.35,3,6,-7.9,-8.02,-1.007,SMA50 이탈,86.7
MLTX,pullback,2023-06-15,2023-09-01,26.25,53.93,7,54,97.74,52.95,6.649,SMA50 이탈,176.0
CMPR,pullback,2023-08-31,2023-09-05,66.11,64.34,2,2,-4.71,-3.55,-0.45,SMA50 이탈,90.0
QTRX,pullback,2023-08-29,2023-09-11,25.11,24.32,8,8,-8.1,-4.01,-0.549,SMA50 이탈,129.3
DFH,pullback,2023-09-01,2023-09-12,29.31,26.9652,6,6,-15.59,-8.82,-1.108,손절,131.1
FOR,pullback,2023-09-05,2023-09-13,29.01,27.66,4,6,-6.42,-5.51,-0.993,SMA50 이탈,101.9
DFH,pullback,2023-09-12,2023-09-13,27.86,25.839,7,1,-15.84,-8.09,-1.12,손절,133.1
COCO,pullback,2023-08-21,2023-09-15,27.44,26.79,5,18,5.57,4.04,0.507,SMA50 이탈,72.5
BBIO,pullback,2023-09-15,2023-09-18,28.89,28.54,3,1,-1.83,-2.1,-0.33,SMA50 이탈,107.9
MLTX,pullback,2023-09-13,2023-09-21,57.14,53.18,3,6,-13.37,-7.76,-0.975,SMA50 이탈,160.7
XP,pullback,2023-09-13,2023-09-21,22.9203,21.1427,6,6,-11.86,-8.58,-1.112,손절,134.6
ANF,pullback,2023-09-18,2023-09-21,52.15,50.05,1,3,-2.56,-4.89,-1.233,갭하락 손절,96.9
RAMP,pullback,2023-09-21,2023-09-22,29.75,29.64,5,1,-1.89,-1.26,-0.334,SMA50 이탈,35.6
DBRG,pullback,2023-09-26,2023-09-27,16.6804,16.383,1,1,-0.45,-2.66,-0.505,SMA50 이탈,57.6
PCVX,pullback,2023-09-11,2023-10-02,50.81,49.04,4,15,-8.88,-4.35,-0.603,SMA50 이탈,31.8
AD,pullback,2023-09-21,2023-10-03,18.7166,18.104,11,8,2.42,1.17,0.359,손절,97.3
TDW,pullback,2023-09-27,2023-10-04,69.13,63.8154,1,5,-5.91,-8.51,-1.113,손절,59.8
MLTX,pullback,2023-10-04,2023-10-11,57.95,53.314,2,5,-10.27,-8.82,-1.108,손절,180.6
CMPR,pullback,2023-10-11,2023-10-12,69.16,66.9,3,1,-8.62,-4.13,-0.75,SMA50 이탈,56.9
APP,pullback,2023-10-03,2023-10-13,40.32,38.52,4,8,-8.62,-5.32,-0.668,SMA50 이탈,159.2
IDYA,pullback,2023-10-12,2023-10-13,27.49,25.2908,6,1,-14.62,-8.82,-1.108,손절,105.9
HURN,pullback,2023-08-25,2023-10-20,99.0,99.23,1,39,-0.66,-0.67,-0.157,SMA50 이탈,40.5
HOS,pullback,2023-10-13,2023-10-20,11.01,10.38,15,5,-10.89,-6.57,-0.825,SMA50 이탈,38.7
OLLI,pullback,2023-10-23,2023-10-24,73.95,74.72,2,1,0.2,0.14,0.026,SMA50 이탈,16.8
TTI,pullback,2023-10-16,2023-10-25,6.39,5.8788,25,7,-14.16,-8.82,-1.108,손절,98.7
STLA,pullback,2023-10-24,2023-10-26,16.1773,15.8793,11,2,-4.86,-2.72,-1.484,손절,15.3
VRT,pullback,2023-10-25,2023-10-26,41.3899,37.4342,3,1,-12.93,-10.37,-1.302,갭하락 손절,219.1
PLTR,pullback,2023-10-25,2023-10-26,16.57,15.2444,9,1,-13.22,-8.82,-1.108,손절,115.0
STLA,pullback,2023-10-26,2023-10-27,16.0913,15.8452,11,1,-4.29,-2.41,-1.584,손절,17.3
CRS,pullback,2023-10-27,2023-10-30,62.8729,62.1726,2,1,-2.53,-2.0,-0.323,SMA50 이탈,21.0
CNR,pullback,2023-10-30,2023-10-31,102.6382,92.7987,1,1,-10.72,-10.4,-2.181,갭하락 손절,78.0
